location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount,country,number,total,sum,
"Jerusalem,  Israel",Jerusalem, Israel,"Jerusalem, Jerusalem Subdistrict, Jerusalem District, Israel",31.79592425,35.211980759695,3097.688,18989.871,1,0, Israel,2,6195.376,,
"Baku,  Azerbaijan",Baku, Azerbaijan,"Baku, Absheron, Azerbaijan",40.3754434,49.8326748,3158.21,19364.992,1,0, Azerbaijan,1,3158.21,,
"Tehran,  Iran",Tehran, Iran,"Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran",35.6892523,51.3896004,3317.72,20353.636,1,0, Iran,1,3317.72,,
"Tokyo,  Japan",Tokyo, Japan,"Tokyo, Japan",35.6828387,139.7594549,3551.829,21804.646,1,0, Japan,2,7103.658,,
"Beijing,  China",Beijing, China,"Beijing, Dongcheng District, Beijing, 100010, China",39.906217,116.3912757,3630.775,22293.957,1,0, China,1,3630.775,,
"Majuro,  Marshall Islands",Majuro, Marshall Islands,"Majuro, Marshall Islands",7.0909924,171.3816354,3690.875,22666.457,1,0, Marshall Islands,1,3690.875,,
"Islamabad,  Pakistan",Islamabad, Pakistan,"Islamabad, Islamabad Capital Territory, 44000, Pakistan",33.6938118,73.0651511,3704.468,22750.708,1,0, Pakistan,3,11113.404,,
"Addis Ababa,  Ethiopia",Addis Ababa, Ethiopia,"Addis Ababa, 1138, Ethiopia",9.0107934,38.7612525,3753.302,23053.379,1,0, Ethiopia,5,18766.51,,
"Kampala,  Uganda",Kampala, Uganda,"Kampala, Central Region, Uganda",0.3177137,32.5813539,3799.199,23337.853,1,0, Uganda,1,3799.199,,
"Windhoek,  Namibia",Windhoek, Namibia,"Windhoek, Khomas, Namibia",-22.5743922,17.0790688,3873.603,23799.007,1,0, Namibia,1,3873.603,,
"New Delhi,  India",New Delhi, India,"New Delhi, Delhi, India",28.6138954,77.2090057,3921.189,24093.949,1,0, India,60,235271.34,,
"Nairobi,  Kenya",Nairobi, Kenya,"Nairobi, Kenya",-1.30316895,36.8260612241051,3952.425,24287.55,1,0, Kenya,1,3952.425,,
"Kathmandu,  Nepal",Kathmandu, Nepal,"Kathmandu, Kamaladi Marg, Kamalpokhari, Baghbazar, Kathmandu, Bagmati Pradesh, 46600, Nepal",27.708317,85.3205817,4030.529,24771.64,1,0, Nepal,2,8061.058,,
"Dodoma,  Tanzania",Dodoma, Tanzania,"Dodoma, Dodoma City, Dodoma, Central Zone, 1234, Tanzania",-6.1791181,35.7468174,4036.147,24806.46,1,0, Tanzania,8,32289.176,,
"Taipei,  Taiwan",Taipei, Taiwan,"Taipei, Taiwan",25.0375198,121.5636796,4114.936,25294.796,1,0, Taiwan,1,4114.936,,
"Cape Town,  South Africa",Cape Town, South Africa,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",-33.928992,18.417396,4135.759,25423.853,1,0, South Africa,7,28950.313,,
"Lilongwe,  Malawi",Lilongwe, Malawi,"Lilongwe, Central Region, Malawi, Malawi",-13.9875107,33.768144,4154.213,25538.233,1,0, Malawi,1,4154.213,,
"Gaborone,  Botswana",Gaborone, Botswana,"Gaborone, South-East District, 09267, Botswana",-24.6581357,25.9088474,4155.134,25543.94,1,0, Botswana,2,8310.268,,
"Hong Kong Island,  China",Hong Kong Island, China,"Hong Kong Island, Hong Kong, China",22.2793278,114.1628131,4265.346,26227.041,1,0, China,1,4265.346,,
"Hanoi,  Vietnam",Hanoi, Vietnam,"Hanoi, Vietnam",21.0294498,105.8544441,4340.043,26690.014,1,0, Vietnam,1,4340.043,,
"Manila,  Philippines",Manila, Philippines,"Manila, Capital District, Metro Manila, Philippines",14.5907332,120.9809674,4480.312,27559.402,1,0, Philippines,8,35842.496,,
"Antananarivo,  Madagascar",Antananarivo, Madagascar,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagascar",-18.9100122,47.5255809,4641.034,28555.557,1,0, Madagascar,1,4641.034,,
"Sri Jayawardenepura Kotte,  Sri Lanka",Sri Jayawardenepura Kotte, Sri Lanka,"Sri Jayawardenepura Kotte, Colombo District, Western Province, 10120, Sri Lanka",6.8883219,79.9187415,4679.425,28793.51,1,0, Sri Lanka,1,4679.425,,
"Kuala Lumpur,  Malaysia",Kuala Lumpur, Malaysia,"Kuala Lumpur, Malaysia",3.1516964,101.6942371,4983.123,30675.833,1,0, Malaysia,4,19932.492,,
"Canberra,  Australia",Canberra, Australia,"Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",-35.2975906,149.1012676,5179.669,31894.029,1,0, Australia,18,93234.042,,
